,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
123,123,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_028.txt' mode='rt' encoding='cp1252'>,574,10,56.8,1.82404181184669,-5.1309372822299215,28.085693379790946,0,0,0,0,0,0,7.0,cleveland,5.0,1896
124,124,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_029.txt' mode='rt' encoding='cp1252'>,1894,51,37.607843137254896,1.7006335797254488,24.78943837091333,19.14453506428971,9,0,9,0,0,0,7.0,cleveland,5.0,1897
125,125,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_030.txt' mode='rt' encoding='cp1252'>,15416,534,29.863295880149806,1.6842890503373118,34.03290102311138,15.931296187238713,45,11,34,4,10,2,7.0,cleveland,5.0,1896
126,126,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_000.txt' mode='rt' encoding='cp1252'>,2355,107,22.822429906542048,1.5218683651804672,54.92016995059231,11.268794372680919,5,2,3,0,1,0,9.0,clinton,10.0,1993
127,127,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_001.txt' mode='rt' encoding='cp1252'>,1603,93,18.032258064516128,1.548970679975047,57.48933853862717,9.720434668866844,3,1,2,0,0,1,9.0,clinton,10.0,1993
128,128,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_002.txt' mode='rt' encoding='cp1252'>,1058,39,27.743589743589745,1.4744801512287335,53.93423561630557,12.62886578449906,5,3,2,0,0,0,9.0,clinton,10.0,1993
129,129,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_003.txt' mode='rt' encoding='cp1252'>,1002,55,18.90909090909091,1.583832335329341,53.650057158410476,10.473767011431683,7,2,5,0,0,0,9.0,clinton,10.0,1993
130,130,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_004.txt' mode='rt' encoding='cp1252'>,5093,199,26.57788944723618,1.4963675633222069,53.26574635399659,12.432514131624153,30,18,12,0,4,1,9.0,clinton,10.0,1993
131,131,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_005.txt' mode='rt' encoding='cp1252'>,7017,297,24.36700336700337,1.4949408579164885,55.63049500275665,11.553433436545875,5,2,3,0,3,1,9.0,clinton,10.0,1993
132,132,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_006.txt' mode='rt' encoding='cp1252'>,1095,48,23.47916666666667,1.431963470319635,61.85953624429226,10.464043949771687,50,1,49,0,2,0,9.0,clinton,10.0,1993
133,133,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_007.txt' mode='rt' encoding='cp1252'>,1141,60,19.733333333333334,1.521472392638037,58.089102249488754,10.059374233128839,3,2,1,0,1,1,9.0,clinton,10.0,1993
134,134,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_008.txt' mode='rt' encoding='cp1252'>,7196,353,21.150141643059488,1.4826292384658144,59.93717265808674,10.153580254689816,40,19,21,1,0,1,9.0,clinton,10.0,1993
135,135,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_009.txt' mode='rt' encoding='cp1252'>,1868,111,17.54954954954955,1.5203426124197,60.401222196500576,9.19436715087679,0,0,0,0,3,1,9.0,clinton,10.0,1993
136,136,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_010.txt' mode='rt' encoding='cp1252'>,4288,205,21.902439024390244,1.3766324626865671,68.14091804696035,9.196214279213688,38,2,36,0,7,4,9.0,clinton,10.0,1993
137,137,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_011.txt' mode='rt' encoding='cp1252'>,2594,122,22.0327868852459,1.5269853508095603,55.2887606329866,11.02121402479872,14,4,10,0,0,0,9.0,clinton,10.0,1993
