,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period
326,<_io.TextIOWrapper name='corpus/harding/harding_speeches_001.txt' mode='rt' encoding='cp1252'>,5601,209,27.784688995215312,1.723085163363685,32.86053584928874,15.578433635825458,8,0,8,1,0,0,8.0,harding,7.0
327,<_io.TextIOWrapper name='corpus/harding/harding_speeches_002.txt' mode='rt' encoding='cp1252'>,5746,227,26.295154185022028,1.7267664462234598,34.06097715169798,15.040954197595418,29,1,28,1,0,0,8.0,harding,7.0
328,<_io.TextIOWrapper name='corpus/harding/harding_speeches_003.txt' mode='rt' encoding='cp1252'>,438,18,24.944444444444443,1.6575342465753424,41.28899162861495,13.697237442922376,2,2,0,0,0,0,7.0,harding,6.0
329,<_io.TextIOWrapper name='corpus/harding/harding_speeches_004.txt' mode='rt' encoding='cp1252'>,545,28,20.214285714285715,1.6275229357798164,48.62905963302754,11.498342070773266,2,0,2,0,0,0,7.0,harding,6.0
330,<_io.TextIOWrapper name='corpus/harding/harding_speeches_005.txt' mode='rt' encoding='cp1252'>,492,27,18.962962962962962,1.8191056910569106,33.691251129178,13.271002710027101,1,0,1,1,0,1,7.0,harding,7.0
331,<_io.TextIOWrapper name='corpus/harding/harding_speeches_006.txt' mode='rt' encoding='cp1252'>,553,21,27.0,1.6401446654611211,40.673761301989174,14.293707052441231,2,0,2,0,0,1,7.0,harding,7.0
332,<_io.TextIOWrapper name='corpus/harding/harding_speeches_007.txt' mode='rt' encoding='cp1252'>,6855,269,26.152416356877325,1.7169948942377826,35.032529345253124,14.869982131187992,28,6,22,6,1,1,7.0,harding,7.0
333,<_io.TextIOWrapper name='corpus/harding/harding_speeches_008.txt' mode='rt' encoding='cp1252'>,547,30,18.933333333333334,1.8446069469835467,31.563918951858653,13.560361974405854,1,0,1,0,0,0,7.0,harding,7.0
334,<_io.TextIOWrapper name='corpus/harding/harding_speeches_009.txt' mode='rt' encoding='cp1252'>,519,29,18.655172413793103,1.6917148362235068,44.78092485549135,11.647752308816695,0,0,0,0,0,0,7.0,harding,7.0
335,<_io.TextIOWrapper name='corpus/harding/harding_speeches_010.txt' mode='rt' encoding='cp1252'>,530,24,22.75,1.760377358490566,34.81582547169813,14.054952830188679,0,0,0,0,0,0,7.0,harding,7.0
336,<_io.TextIOWrapper name='corpus/harding/harding_speeches_011.txt' mode='rt' encoding='cp1252'>,565,26,22.46153846153846,1.6690265486725664,42.83689244383936,12.864513274336286,7,0,7,0,0,0,7.0,harding,7.0
337,<_io.TextIOWrapper name='corpus/harding/harding_speeches_012.txt' mode='rt' encoding='cp1252'>,553,33,17.545454545454547,1.566003616636528,56.542457668913386,9.731569949038306,3,1,2,0,0,1,7.0,harding,7.0
338,<_io.TextIOWrapper name='corpus/harding/harding_speeches_013.txt' mode='rt' encoding='cp1252'>,485,26,19.26923076923077,1.6391752577319587,48.602503965107076,11.267268041237116,4,0,4,0,2,0,7.0,harding,7.0
339,<_io.TextIOWrapper name='corpus/harding/harding_speeches_014.txt' mode='rt' encoding='cp1252'>,357,14,26.071428571428573,1.669467787114846,39.13552521008404,14.277577030812328,0,0,0,0,0,0,7.0,harding,7.0
340,<_io.TextIOWrapper name='corpus/harding/harding_speeches_015.txt' mode='rt' encoding='cp1252'>,551,30,19.166666666666668,1.573502722323049,54.26250302480338,10.452332123411981,2,0,2,0,2,0,8.0,harding,7.0
341,<_io.TextIOWrapper name='corpus/harding/harding_speeches_016.txt' mode='rt' encoding='cp1252'>,702,36,20.194444444444443,1.5527065527065527,54.97866452991457,10.607770655270656,6,2,4,0,0,2,8.0,harding,7.0
342,<_io.TextIOWrapper name='corpus/harding/harding_speeches_017.txt' mode='rt' encoding='cp1252'>,562,30,19.4,1.5587188612099645,55.276384341637026,10.36888256227758,1,0,1,0,0,0,8.0,harding,7.0
343,<_io.TextIOWrapper name='corpus/harrison/harrison_speeches_000.txt' mode='rt' encoding='cp1252'>,8462,214,40.41121495327103,1.6461829354762467,26.55054048113945,19.595332470395416,59,5,54,1,0,2,3.0,harrison,3.0
344,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_000.txt' mode='rt' encoding='cp1252'>,312,12,25.916666666666668,1.7211538461538463,34.919967948717954,14.827115384615386,1,0,1,0,0,0,8.0,hayes,4.0
345,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_001.txt' mode='rt' encoding='cp1252'>,153,8,19.25,1.8300653594771241,32.47272058823532,13.512271241830067,2,0,2,0,0,0,8.0,hayes,4.0
346,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_002.txt' mode='rt' encoding='cp1252'>,2476,60,41.766666666666666,1.6882067851373181,21.61953931071625,20.61984006462035,9,0,9,1,2,1,8.0,hayes,4.0
347,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_003.txt' mode='rt' encoding='cp1252'>,1136,32,36.1875,1.5105633802816902,42.311025528169026,16.347772887323945,0,0,0,0,0,0,8.0,hayes,4.0
348,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_004.txt' mode='rt' encoding='cp1252'>,3188,67,48.11940298507463,1.719573400250941,12.51789630891966,23.46753328714021,4,0,4,3,2,1,8.0,hayes,4.0
349,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_005.txt' mode='rt' encoding='cp1252'>,7874,266,30.590225563909776,1.7073914147828295,31.34060736200422,16.4874066643622,13,1,12,3,17,0,8.0,hayes,4.0
350,<_io.TextIOWrapper name='corpus/hayes/hayes_speeches_006.txt' mode='rt' encoding='cp1252'>,10721,319,34.3166144200627,1.6863165749463669,29.34125412317374,17.69201520819158,10,0,10,5,13,1,8.0,hayes,4.0
